,Season,Team,npxg_created_op,npxg_created_sp,npxg_allowed_op,npxg_allowed_sp,xt_created,xt_allowed,box_shots,box_shots_conceded,box_touches,def_action_height,field_tilt,avg_seq_len,comp_passes,ppda,opp_buildup,high_pressure_regains
34,2023/24,Tottenham,1.5088720321655271,0.2505402361873436,1.1894703808970548,0.4014302106523836,2.502257073783784,1.8574584232432427,10.216216216216216,8.81081081081081,36.08108108108108,48.0449888845302,61.76049168443636,4.757297297297296,535.0540540540541,6.713783783783784,77.95054054054053,6.918918918918919
35,2023/24,West Ham,0.9514381738586558,0.3677456252690818,1.3312079024811585,0.3921590179411901,1.797642386944444,2.5018642794444443,7.888888888888889,10.555555555555555,20.694444444444443,43.86374049490062,37.25939323947653,3.2822222222222224,314.69444444444446,14.86666666666667,84.93555555555558,4.083333333333333
36,2023/24,Wolves,0.8533693773405893,0.3119423207427774,1.4297486850193568,0.3292474697210959,1.625407345714286,2.362508083142857,7.571428571428571,9.914285714285716,20.8,44.101982706605554,41.10009960005824,3.866285714285712,395.0285714285714,10.897142857142857,82.39085714285714,4.771428571428571
37,2023/24,Burnley,0.8966913833408743,0.2072448382103765,1.3379113649999774,0.451141250294608,1.6879565308108109,2.291002137567568,7.0,11.0,22.75675675675676,46.16357704792753,46.98245576259461,3.654324324324323,366.35135135135135,11.998108108108104,79.87378378378378,4.567567567567568
38,2023/24,Sheff Utd,1.3029777077404228,0.3038397117996135,1.2355239914881218,0.3994549428037292,2.11617892,1.869565962162162,9.432432432432432,8.405405405405405,27.83783783783784,45.91164173460621,52.07981589640723,4.236216216216215,418.02702702702703,11.836756756756758,82.63324324324323,4.72972972972973
39,2023/24,Luton,0.8106816908394968,0.3412000606893687,1.750596424413694,0.421442717615817,1.8427408762162163,2.465174871351352,7.486486486486487,11.783783783783784,21.67567567567568,45.302825610861966,42.63903217647096,2.8227027027027023,283.72972972972974,11.507027027027029,80.54135135135137,4.45945945945946
40,2024/25,Arsenal,1.399894913037618,0.15706506868203482,1.0606148640314739,0.0774327057103316,2.0297002066666665,1.5052092033333333,9.0,9.333333333333334,37.666666666666664,50.32907729367407,0.5233638567196337,4.466666666666666,355.3333333333333,6.726666666666667,0.8302333333333335,5.666666666666667
41,2024/25,Aston Villa,1.0961159467697144,0.6351435631513596,1.486881415049235,0.05947926640510559,1.6141254833333332,2.05319358,8.333333333333334,5.666666666666667,21.0,45.07005479355204,0.4674392702263179,3.4299999999999997,321.0,10.143333333333333,0.8932666666666668,3.6666666666666665
42,2024/25,Brentford,1.395304297407468,0.5103947172562281,1.379133145014445,0.2683577686548233,1.7289094166666665,2.47671673,9.0,10.333333333333334,21.333333333333332,44.218612378675935,0.3960202172547566,3.5100000000000002,321.3333333333333,16.333333333333332,0.8547666666666666,6.0
43,2024/25,Bournemouth,1.7280348936716716,0.2199257786075274,1.129214346408844,0.4703020825982094,2.240276833333333,2.4584560866666663,9.666666666666666,11.0,25.0,46.55456914344685,0.45616999995011126,2.9966666666666666,312.6666666666667,7.6066666666666665,0.7686000000000001,5.0
